,,,,,,,,,1x_F,1x_G,1x_J,1x_K,1x_N,1x_W,base_pos_t1_g1,neg_t1_g1,1x_FG,1x_FJ,1x_FK,1x_FN,1x_FW,1x_GJ,1x_GK,pos_t1_g1,1x_GN,1x_GW,1x_JK,1x_JN,1x_JW,1x_KN,base_pos_t2_g1,neg_t2_g1,1x_KW,1x_NW,1x_FGJ,1x_FGK,1x_FGN,1x_FGW,1x_FJK,pos_t2_g1,1x_FJN,1x_FJW,1x_FKN,1x_FKW,1x_FNW,1x_GJK,base_pos_t3_g2,neg_t3_g2,1x_GJN,1x_GJW,1x_GKN,1x_GKW,1x_GNW,1x_JKN,1x_JKW,pos_t3_g2,1x_JNW,1x_KNW,hail_mary_025N,hail_mary_05N,hail_mary_1N,pos_2A_base,base_pos_t4_g2,neg_t4_g2,1x_F_2A,1x_G_2A,1x_J_2A,1x_K_2A,1x_N_2A,1x_W_2A,pos_2A_1xCh,pos_t4_g2,del_F,del_G,del_J,del_K,del_N,del_W,base_pos_t5_g3,neg_t5_g3,gvpA_10_chaps_2,gvpA_15_chaps_2,gvpA_18_chaps_2,gvpA_10_chaps_3,gvpA_15_chaps_1,gvpA_20_chaps_1,gvpA_10_chaps_4_025K,pos_t5_g3,0125x_F,0125x_G,0125x_J,0125x_K,0125x_N,0125x_W,base_pos_t6_g3,neg_t6_g3,2x_F,2x_G,2x_J,2x_K,2x_N,2x_W,hail_mary_5A,pos_t6_g3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pUC19 (maxi),285.4,163.469,2686,1745.9,,,pUC19 (maxi),1703.372,1707.735,1708.649,1706.516,1703.079,1703.884,1765.443,3000,1645.664,1646.578,1644.445,1641.008,1641.813,1650.941,1648.808,1406.021,1645.372,1646.176,1649.723,1646.286,1647.09,1644.153,1765.443,3000,1644.957,1641.52,1588.87,1586.738,1583.301,1584.105,1587.652,1406.021,1584.215,1585.019,1582.082,1582.886,1579.449,1592.015,1765.443,3000,1588.578,1589.382,1586.445,1587.249,1583.813,1587.359,1588.163,1406.021,1584.727,1582.594,1574.995,1554.207,1512.631,2297.821,1765.443,3000,2595.172,2599.535,2600.449,2598.316,2594.879,2595.684,2297.821,1406.021,1488.783,1482.965,1481.746,1484.59,1489.173,1488.1,1765.443,3000,926.793,369.418,34.993,447.564,848.646,291.271,262.968,1406.021,1775.788,1775.061,1774.908,1775.264,1775.837,1775.703,1765.443,3000,1620.611,1630.791,1632.924,1627.948,1619.928,1621.805,2090.794,1406.021,,,pUC19 (maxi),22.765,22.823,22.835,22.807,22.761,22.772,23.595,40.094,21.994,22.006,21.977,21.931,21.942,22.064,22.036,18.791,21.99,22.001,22.048,22.002,22.013,21.974,23.595,40.094,21.984,21.938,21.235,21.206,21.16,21.171,21.218,18.791,21.172,21.183,21.144,21.155,21.109,21.277,23.595,40.094,21.231,21.242,21.202,21.213,21.167,21.214,21.225,18.791,21.179,21.151,21.049,20.771,20.216,30.71,23.595,40.094,34.684,34.742,34.754,34.726,34.68,34.69,30.71,18.791,19.897,19.819,19.803,19.841,19.902,19.888,23.595,40.094,12.386,4.937,0.468,5.982,11.342,3.893,3.514,18.791,23.733,23.723,23.721,23.726,23.733,23.732,23.595,40.094,21.659,21.795,21.823,21.757,21.65,21.675,27.943,18.791,,pUC19 (maxi),0.033,199.989,19.999,20,,,760
,,,,,,,,,H1,G1,F1,E1,D1,C1,B1,A1,H2,G2,F2,E2,D2,C2,B2,A2,H3,G3,F3,E3,D3,C3,B3,A3,H4,G4,F4,E4,D4,C4,B4,A4,H5,G5,F5,E5,D5,C5,B5,A5,H6,G6,F6,E6,D6,C6,B6,A6,H7,G7,F7,E7,D7,C7,B7,A7,H8,G8,F8,E8,D8,C8,B8,A8,H9,G9,F9,E9,D9,C9,B9,A9,H10,G10,F10,E10,D10,C10,B10,A10,H11,G11,F11,E11,D11,C11,B11,A11,H12,G12,F12,E12,D12,C12,B12,A12,,,Final volume of DNA before water (uL),4.103,4.191,4.098,4.113,4.235,4.088,3.763,3.679,4.531,4.438,4.453,4.575,4.428,4.526,4.541,6.013,4.663,4.516,4.448,4.57,4.423,4.585,3.763,3.679,4.438,4.56,4.866,4.881,5.003,4.856,4.788,6.013,4.91,4.763,4.925,4.778,4.9,4.876,3.763,3.679,4.998,4.851,5.012,4.866,4.988,4.92,4.773,6.013,4.895,4.91,4.91,5.067,5.381,3.855,3.763,3.679,4.636,4.724,4.631,4.645,4.768,4.621,6.545,6.013,5.559,5.442,5.566,5.547,5.383,5.579,3.763,3.679,9.012,8.679,8.48,12.012,5.68,5.347,13.264,6.013,3.706,3.692,3.707,3.705,3.684,3.709,3.763,3.679,4.557,4.762,4.545,4.579,4.864,4.521,5.557,6.013,,total volume,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2O,10.897,10.809,10.902,10.887,10.765,10.912,11.237,11.321,10.469,10.562,10.547,10.425,10.572,10.474,10.459,8.987,10.337,10.484,10.552,10.43,10.577,10.415,11.237,11.321,10.562,10.44,10.134,10.119,9.997,10.144,10.212,8.987,10.09,10.237,10.075,10.222,10.1,10.124,11.237,11.321,10.002,10.149,9.988,10.134,10.012,10.08,10.227,8.987,10.105,10.09,10.09,9.933,9.619,11.145,11.237,11.321,10.364,10.276,10.369,10.355,10.232,10.379,8.455,8.987,9.441,9.558,9.434,9.453,9.617,9.421,11.237,11.321,5.988,6.321,6.52,2.988,9.32,9.653,1.736,8.987,11.294,11.308,11.293,11.295,11.316,11.291,11.237,11.321,10.443,10.238,10.455,10.421,10.136,10.479,9.443,8.987,,water volume,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well_id,H1,G1,F1,E1,D1,C1,B1,A1,H2,G2,F2,E2,D2,C2,B2,A2,H3,G3,F3,E3,D3,C3,B3,A3,H4,G4,F4,E4,D4,C4,B4,A4,H5,G5,F5,E5,D5,C5,B5,A5,H6,G6,F6,E6,D6,C6,B6,A6,H7,G7,F7,E7,D7,C7,B7,A7,H8,G8,F8,E8,D8,C8,B8,A8,H9,G9,F9,E9,D9,C9,B9,A9,H10,G10,F10,E10,D10,C10,B10,A10,H11,G11,F11,E11,D11,C11,B11,A11,H12,G12,F12,E12,D12,C12,B12,A12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25,fmol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
