do not touch,Plasmid,Con [ng/ul],Conc (nM),Size (bp),mw (ng/pmol),,,plamsid (ng),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,repl,total DNA combo final volume w/water (uL),plasmid concentration nM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
,m169_GvpW dimer,296,9.021089845,5048,3281.20,,,m169_GvpW dimer,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,,,m169_GvpW dimer,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
,pUC19 (maxi),202.90,116.2724096,2686,1745.90,,,pUC19 (maxi),1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,2073.26,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,1711.86,,,pUC19 (maxi),34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,41.563,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318,34.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Final volume of DNA before water (uL),9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,10.006,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710,9.710
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2O,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,-0.01,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well_id,H1,G1,F1,E1,D1,C1,B1,A1,H2,G2,F2,E2,D2,C2,B2,A2,H3,G3,F3,E3,D3,C3,B3,A3,H4,G4,F4,E4,D4,C4,B4,A4,H5,G5,F5,E5,D5,C5,B5,A5,H6,G6,F6,E6,D6,C6,B6,A6,H7,G7,F7,E7,D7,C7,B7,A7,H8,G8,F8,E8,D8,C8,B8,A8,H9,G9,F9,E9,D9,C9,B9,A9,H10,G10,F10,E10,D10,C10,B10,A10,H11,G11,F11,E11,D11,C11,B11,A11,H12,G12,F12,E12,D12,C12,B12,A12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
