well,ingredient1,concentration1,unit1,ingredient2,...
A1,puc19,54.676227272727274,concentration,m169,0.0,concentration,m168,0.0,concentration,m167,0.0,concentration,m166,0.0,concentration,m165,0.0,concentration,m164,0.0,concentration,m163,0.0,concentration,m162,0.0,concentration,water,0.5295454545454545,fraction
A10,puc19,19.54609090909091,concentration,m169,0.7966363636363636,concentration,m168,0.8145,concentration,m167,0.804,concentration,m166,0.7955,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.78775,concentration,m162,11.924818181818182,concentration,water,0.35909090909090907,fraction
A11,puc19,54.676227272727274,concentration,m169,0.0,concentration,m168,0.0,concentration,m167,0.0,concentration,m166,0.0,concentration,m165,0.0,concentration,m164,0.0,concentration,m163,0.0,concentration,m162,0.0,concentration,water,0.5295454545454545,fraction
A12,puc19,19.54609090909091,concentration,m169,0.7966363636363636,concentration,m168,0.8145,concentration,m167,0.804,concentration,m166,0.7955,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.78775,concentration,m162,11.924818181818182,concentration,water,0.35909090909090907,fraction
A2,puc19,19.54609090909091,concentration,m169,0.7966363636363636,concentration,m168,0.8145,concentration,m167,0.804,concentration,m166,0.7955,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.78775,concentration,m162,11.924818181818182,concentration,water,0.35909090909090907,fraction
A3,puc19,54.676227272727274,concentration,m169,0.0,concentration,m168,0.0,concentration,m167,0.0,concentration,m166,0.0,concentration,m165,0.0,concentration,m164,0.0,concentration,m163,0.0,concentration,m162,0.0,concentration,water,0.5295454545454545,fraction
A4,puc19,19.54609090909091,concentration,m169,0.7966363636363636,concentration,m168,0.8145,concentration,m167,0.804,concentration,m166,0.7955,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.78775,concentration,m162,11.924818181818182,concentration,water,0.35909090909090907,fraction
A5,puc19,54.676227272727274,concentration,m169,0.0,concentration,m168,0.0,concentration,m167,0.0,concentration,m166,0.0,concentration,m165,0.0,concentration,m164,0.0,concentration,m163,0.0,concentration,m162,0.0,concentration,water,0.5295454545454545,fraction
A6,puc19,19.54609090909091,concentration,m169,0.7966363636363636,concentration,m168,0.8145,concentration,m167,0.804,concentration,m166,0.7955,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.78775,concentration,m162,11.924818181818182,concentration,water,0.35909090909090907,fraction
A7,puc19,54.676227272727274,concentration,m169,0.0,concentration,m168,0.0,concentration,m167,0.0,concentration,m166,0.0,concentration,m165,0.0,concentration,m164,0.0,concentration,m163,0.0,concentration,m162,0.0,concentration,water,0.5295454545454545,fraction
A8,puc19,19.54609090909091,concentration,m169,0.7966363636363636,concentration,m168,0.8145,concentration,m167,0.804,concentration,m166,0.7955,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.78775,concentration,m162,11.924818181818182,concentration,water,0.35909090909090907,fraction
A9,puc19,54.676227272727274,concentration,m169,0.0,concentration,m168,0.0,concentration,m167,0.0,concentration,m166,0.0,concentration,m165,0.0,concentration,m164,0.0,concentration,m163,0.0,concentration,m162,0.0,concentration,water,0.5295454545454545,fraction
B1,puc19,20.3385,concentration,m169,0.10390909090909091,concentration,m168,0.11106818181818182,concentration,m167,0.1005,concentration,m166,0.10847727272727273,concentration,m165,0.10254545454545455,concentration,m164,0.11052272727272727,concentration,m163,0.10275,concentration,m162,15.818636363636363,concentration,water,0.6295454545454545,fraction
B10,puc19,22.187454545454546,concentration,m169,0.20781818181818182,concentration,m168,1.5919772727272727,concentration,m167,0.201,concentration,m166,0.21695454545454546,concentration,m165,1.6065454545454545,concentration,m164,0.18420454545454545,concentration,m163,0.2055,concentration,m162,11.924818181818182,concentration,water,0.42727272727272725,fraction
B11,puc19,22.45159090909091,concentration,m169,1.5932727272727272,concentration,m168,1.5919772727272727,concentration,m167,0.201,concentration,m166,0.21695454545454546,concentration,m165,0.2050909090909091,concentration,m164,0.18420454545454545,concentration,m163,0.2055,concentration,m162,11.924818181818182,concentration,water,0.42727272727272725,fraction
B12,puc19,1.0565454545454545,concentration,m169,1.5932727272727272,concentration,m168,1.5919772727272727,concentration,m167,1.5745,concentration,m166,1.591,concentration,m165,1.6065454545454545,concentration,m164,1.584159090909091,concentration,m163,1.5755,concentration,m162,15.818636363636363,concentration,water,0.125,fraction
B2,puc19,19.281954545454546,concentration,m169,0.20781818181818182,concentration,m168,0.18511363636363637,concentration,m167,0.201,concentration,m166,0.21695454545454546,concentration,m165,0.2050909090909091,concentration,m164,0.18420454545454545,concentration,m163,0.2055,concentration,m162,15.818636363636363,concentration,water,0.5954545454545455,fraction
B3,puc19,16.64059090909091,concentration,m169,0.41563636363636364,concentration,m168,0.40725,concentration,m167,0.402,concentration,m166,0.39775,concentration,m165,0.4101818181818182,concentration,m164,0.40525,concentration,m163,0.411,concentration,m162,15.818636363636363,concentration,water,0.525,fraction
B4,puc19,11.357863636363636,concentration,m169,0.7966363636363636,concentration,m168,0.8145,concentration,m167,0.804,concentration,m166,0.7955,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.78775,concentration,m162,15.818636363636363,concentration,water,0.3931818181818182,fraction
B5,puc19,26.1495,concentration,m169,0.7966363636363636,concentration,m168,0.18511363636363637,concentration,m167,0.201,concentration,m166,0.21695454545454546,concentration,m165,0.2050909090909091,concentration,m164,0.18420454545454545,concentration,m163,0.2055,concentration,m162,11.924818181818182,concentration,water,0.5340909090909091,fraction
B6,puc19,25.092954545454546,concentration,m169,0.20781818181818182,concentration,m168,0.18511363636363637,concentration,m167,0.201,concentration,m166,0.21695454545454546,concentration,m165,0.7861818181818182,concentration,m164,0.8105,concentration,m163,0.2055,concentration,m162,11.924818181818182,concentration,water,0.5045454545454545,fraction
B7,puc19,25.092954545454546,concentration,m169,0.20781818181818182,concentration,m168,0.8145,concentration,m167,0.201,concentration,m166,0.21695454545454546,concentration,m165,0.7861818181818182,concentration,m164,0.18420454545454545,concentration,m163,0.2055,concentration,m162,11.924818181818182,concentration,water,0.5045454545454545,fraction
