well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
G9,puc19,11.2671,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
G11,puc19,11.3056,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
G13,puc19,11.2804,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
G15,puc19,11.2758,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
G17,puc19,11.2506,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
G19,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
G21,puc19,11.2891,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
G23,puc19,11.3031,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
I1,puc19,11.2733,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
I3,puc19,11.3118,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
I5,puc19,11.2866,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
I7,puc19,11.2950,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I9,puc19,11.3334,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I11,puc19,11.3082,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I13,puc19,11.3037,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I15,puc19,11.2785,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I17,puc19,11.3169,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
I19,puc19,11.2664,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
I21,puc19,11.3049,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
I23,puc19,11.2797,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
K1,puc19,11.2751,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
K3,puc19,11.2499,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
K5,puc19,11.2884,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
K7,puc19,11.2968,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
K9,puc19,11.2716,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
K11,puc19,11.3100,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
K13,puc19,11.2802,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
K15,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
K17,puc19,10.2724,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0000,m162,2.7778
K19,puc19,10.2353,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0000,m163,0.2778,m162,2.7778
K21,puc19,10.2734,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0000,m164,0.2778,m163,0.2778,m162,2.7778
K23,puc19,10.2445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0000,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
M1,puc19,10.2842,m169,0.2778,m168,0.2778,m167,0.0000,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
M3,puc19,10.2329,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
M5,puc19,10.2665,m169,0.0000,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
M7,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
M9,puc19,6.1466,m169,0.5556,m168,0.5556,m167,0.5556,m166,0.5556,m165,0.5556,m164,0.5556,m163,0.5556,m162,2.7778
M11,puc19,16.7690,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,0.5556
M13,puc19,16.7969,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,0.5556
M15,puc19,16.7683,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,0.5556
M17,puc19,16.7900,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556
M19,puc19,16.7602,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556
M21,puc19,16.7735,m169,0.2778,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556
M23,puc19,15.2289,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,0.5556
O1,puc19,15.2010,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,0.5556
O3,puc19,15.2296,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,0.5556
O5,puc19,15.2079,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556
O7,puc19,15.2377,m169,0.2778,m168,0.0000,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556
O9,puc19,15.2245,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556
O11,puc19,10.1405,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778
O13,puc19,10.1126,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778
O15,puc19,10.1412,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778
O17,puc19,10.1195,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
O19,puc19,10.1493,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
O21,puc19,10.1108,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
O23,puc19,10.1360,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
A2,puc19,16.7900,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556
A4,puc19,16.7690,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,0.5556
A6,puc19,10.2329,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
A8,puc19,10.1108,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
A10,puc19,11.3125,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778
A12,puc19,16.7683,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,0.5556
A14,puc19,10.2353,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0000,m163,0.2778,m162,2.7778
A16,puc19,11.2804,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
A18,puc19,12.0469,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
A20,puc19,11.6719,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
A22,puc19,11.2716,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
A24,puc19,11.2822,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778
C2,puc19,11.7085,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
C4,puc19,12.0381,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
C6,puc19,11.7946,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0000,m163,0.2778,m162,2.7778
C8,puc19,11.6764,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
C10,puc19,11.6806,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
C12,puc19,11.6799,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778
C14,puc19,11.3082,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778
C16,puc19,15.2296,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,0.5556
C18,puc19,11.2671,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778
C20,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778
