,,,,,,,,,1x_F,1x_G,1x_J,1x_K,1x_N,1x_V,1x_W,base_pos_1,1x_FG,1x_FJ,1x_FK,1x_FN,1x_FV,1x_FW,1x_GJ,pos_1,1x_GK,1x_GN,1x_GV,1x_GW,1x_JK,1x_JN,1x_JV,1x_JW,1x_KN,1x_KV,1x_KW,1x_NV,1x_NW,1x_VW,1x_FGJ,1x_FGK,1x_FGN,1x_FGV,1x_FGW,1x_FJK,1x_FJN,base_pos_2,1x_FJV,1x_FJW,1x_FKN,1x_FKV,1x_FKW,1x_FNV,1x_FNW,pos_2,1x_FVW,1x_GJK,1x_GJN,1x_GJV,1x_GJW,1x_GKN,1x_GKV,1x_GKW,1x_GNV,1x_GNW,1x_GVW,1x_JKN,1x_JKV,1x_JKW,1x_JNV,1x_JNW,1x_JVW,1x_KNV,1x_KNW,1x_KVW,1x_NVW,base_pos_3,del_F,del_G,del_J,del_K,del_N,del_V,del_W,pos_3,gvpA_10_chaps_2,gvpA_2_delV_1x_F,gvpA_2_delV_1x_G,gvpA_2_delV_1x_J,gvpA_2_delV_1x_K,gvpA_2_delV_1x_N,gvpA_2_delV_1x_W,gvpA_2_delV_chap_1_025x_F,gvpA_2_delV_chap_1_025x_G,gvpA_2_delV_chap_1_025x_J,gvpA_2_delV_chap_1_025x_K,gvpA_2_delV_chap_1_025x_N,gvpA_2_delV_chap_1_025x_W,chap_1_025x_F,chap_1_025x_G,chap_1_025x_J,chap_1_025x_K,chap_1_025x_N,chap_1_025x_V,chap_1_025x_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m169_GvpW,m169_GvpW,14.500,4.419,5048.000,3281.200,,,m169_GvpW,20.50750,20.50750,20.50750,20.50750,20.50750,20.50750,82.03000,20.50750,20.50750,20.50750,20.50750,20.50750,20.50750,82.03000,20.50750,82.03000,20.50750,20.50750,20.50750,82.03000,20.50750,20.50750,20.50750,82.03000,20.50750,20.50750,82.03000,20.50750,82.03000,82.03000,20.50750,20.50750,20.50750,20.50750,82.03000,20.50750,20.50750,20.50750,20.50750,82.03000,20.50750,20.50750,82.03000,20.50750,82.03000,82.03000,82.03000,20.50750,20.50750,20.50750,82.03000,20.50750,20.50750,82.03000,20.50750,82.03000,82.03000,20.50750,20.50750,82.03000,20.50750,82.03000,82.03000,20.50750,82.03000,82.03000,82.03000,20.50750,82.03000,82.03000,82.03000,82.03000,82.03000,82.03000,0.00000,82.03000,164.06000,20.50750,20.50750,20.50750,20.50750,20.50750,82.03000,82.03000,82.03000,82.03000,82.03000,82.03000,20.50750,82.03000,82.03000,82.03000,82.03000,82.03000,82.03000,20.50750,,,m169_GvpW,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.2778,0.0694,0.0694,0.0694,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.0694,0.0694,0.2778,0.0694,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0000,0.2778,0.5556,0.0694,0.0694,0.0694,0.0694,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.0694,,m169_GvpW,0.0000963,21.780,3.000,4,12.000,455.000,,500,,,296,14.500,24.5,475.5067568
,pUC19 (maxi),101.700,58.251,2686.000,1745.900,,,pUC19 (maxi),1892.94844,1897.32375,1892.83875,1896.23906,1891.55906,1897.60406,1893.64313,1955.16563,1835.10656,1830.62156,1834.02188,1829.34188,1835.38688,1831.42594,1834.99688,1531.16250,1838.39719,1833.71719,1839.76219,1835.80125,1833.91219,1829.23219,1835.27719,1831.31625,1832.63250,1838.67750,1834.71656,1833.99750,1830.03656,1836.08156,1772.77969,1853.30250,1771.50000,1777.54500,1773.58406,1771.69500,1767.01500,1955.16563,1773.06000,1769.09906,1770.41531,1776.46031,1772.49938,1771.78031,1767.81938,1531.16250,1773.86438,1776.07031,1771.39031,1777.43531,1773.47438,1774.79063,1780.83563,1776.87469,1776.15563,1772.19469,1778.23969,1770.30563,1776.35063,1772.38969,1771.67063,1767.70969,1773.75469,1775.07094,1771.11000,1777.15500,1772.47500,1955.16563,1614.11875,1608.28500,1614.26500,1609.73125,1615.97125,1607.91125,1613.19250,1531.16250,965.82500,2634.93563,2639.31094,2634.82594,2638.22625,2633.54625,2635.63031,2392.92844,2388.55313,2393.03813,2389.63781,2394.31781,2392.23375,1593.37969,1589.00438,1593.48938,1590.08906,1594.76906,1588.72406,1592.68500,,,pUC19 (maxi),12.0469,12.0748,12.0462,12.0679,12.0381,12.0766,12.0514,12.4429,11.6788,11.6503,11.6719,11.6421,11.6806,11.6554,11.6781,9.7445,11.6998,11.6700,11.7085,11.6833,11.6712,11.6414,11.6799,11.6547,11.6631,11.7016,11.6764,11.6718,11.6466,11.6850,11.2822,11.7946,11.2740,11.3125,11.2873,11.2753,11.2455,12.4429,11.2840,11.2588,11.2671,11.3056,11.2804,11.2758,11.2506,9.7445,11.2891,11.3031,11.2733,11.3118,11.2866,11.2950,11.3334,11.3082,11.3037,11.2785,11.3169,11.2664,11.3049,11.2797,11.2751,11.2499,11.2884,11.2968,11.2716,11.3100,11.2802,12.4429,10.2724,10.2353,10.2734,10.2445,10.2842,10.2329,10.2665,9.7445,6.1466,16.7690,16.7969,16.7683,16.7900,16.7602,16.7735,15.2289,15.2010,15.2296,15.2079,15.2377,15.2245,10.1405,10.1126,10.1412,10.1195,10.1493,10.1108,10.1360,,pUC19 (maxi),0.0067947,116.645,12.000,4,48.000,1715.000,,2000,,,131.3,101.700,1549.1,450.9
,,,,,,,,,H1,G1,F1,E1,D1,C1,B1,A1,H2,G2,F2,E2,D2,C2,B2,A2,H3,G3,F3,E3,D3,C3,B3,A3,H4,G4,F4,E4,D4,C4,B4,A4,H5,G5,F5,E5,D5,C5,B5,A5,H6,G6,F6,E6,D6,C6,B6,A6,H7,G7,F7,E7,D7,C7,B7,A7,H8,G8,F8,E8,D8,C8,B8,A8,H9,G9,F9,E9,D9,C9,B9,A9,H10,G10,F10,E10,D10,C10,B10,A10,H11,G11,F11,E11,D11,C11,B11,A11,H12,G12,F12,E12,D12,C12,B12,A12,,,Final volume of DNA before water (uL),2.4452,2.4357,2.4550,2.4363,2.4504,2.4346,2.4538,2.2113,2.6696,2.6889,2.6702,2.6843,2.6685,2.6877,2.6794,3.8433,2.6607,2.6748,2.6590,2.6782,2.6801,2.6942,2.6783,2.6976,2.6754,2.6596,2.6788,2.6737,2.6929,2.6771,2.9133,2.5954,2.9087,2.8929,2.9121,2.9140,2.9281,2.2113,2.9122,2.9315,2.9093,2.8935,2.9127,2.9076,2.9269,3.8433,2.9110,2.9045,2.9186,2.9027,2.9220,2.8998,2.8840,2.9032,2.8981,2.9174,2.9015,2.9192,2.9034,2.9226,2.9175,2.9367,2.9209,2.8988,2.9180,2.9022,2.9163,2.2113,3.5315,3.5441,3.5184,3.5433,3.5245,3.5456,3.5200,3.8433,6.0194,2.6102,2.6007,2.6200,2.6013,2.6154,2.6188,3.5511,3.5606,3.5413,3.5600,3.5459,3.5425,3.6094,3.6189,3.5996,3.6183,3.6042,3.6200,3.6008,,total volume,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2O,3.555,3.564,3.545,3.564,3.550,3.565,3.546,3.789,3.330,3.311,3.330,3.316,3.331,3.312,3.321,2.157,3.339,3.325,3.341,3.322,3.320,3.306,3.322,3.302,3.325,3.340,3.321,3.326,3.307,3.323,3.087,3.405,3.091,3.107,3.088,3.086,3.072,3.789,3.088,3.069,3.091,3.106,3.087,3.092,3.073,2.157,3.089,3.096,3.081,3.097,3.078,3.100,3.116,3.097,3.102,3.083,3.098,3.081,3.097,3.077,3.083,3.063,3.079,3.101,3.082,3.098,3.084,3.789,2.469,2.456,2.482,2.457,2.475,2.454,2.480,2.157,-0.019,3.390,3.399,3.380,3.399,3.385,3.381,2.449,2.439,2.459,2.440,2.454,2.458,2.391,2.381,2.400,2.382,2.396,2.380,2.399,,water volume,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well_id,H1,G1,F1,E1,D1,C1,B1,A1,H2,G2,F2,E2,D2,C2,B2,A2,H3,G3,F3,E3,D3,C3,B3,A3,H4,G4,F4,E4,D4,C4,B4,A4,H5,G5,F5,E5,D5,C5,B5,A5,H6,G6,F6,E6,D6,C6,B6,A6,H7,G7,F7,E7,D7,C7,B7,A7,H8,G8,F8,E8,D8,C8,B8,A8,H9,G9,F9,E9,D9,C9,B9,A9,H10,G10,F10,E10,D10,C10,B10,A10,H11,G11,F11,E11,D11,C11,B11,A11,H12,G12,F12,E12,D12,C12,B12,A12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.00,,6.25,fmol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25E-06,nmol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current adjustment,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50E-07,nmol,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate type,area adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 cm,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-well,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-well,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.16,transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-well,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dilute plasmids such that for chaperones, 0.25x condition requires 10 0.25 nL transfers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-well,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96-well,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
