well_id,sample_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9,offset_id
G3,s37,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
G5,s38,puc19,11.2840,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
G7,s39,puc19,11.2588,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
G9,s40,puc19,11.2671,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G11,s41,puc19,11.3056,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G13,s42,puc19,11.2804,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G15,s43,puc19,11.2758,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G17,s44,puc19,11.2506,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G19,s45,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
G21,s46,puc19,11.2891,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,2.7778,1
G23,s47,puc19,11.3031,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I1,s48,puc19,11.2733,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I3,s49,puc19,11.3118,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I5,s50,puc19,11.2866,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
I7,s51,puc19,11.2950,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I9,s52,puc19,11.3334,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I11,s53,puc19,11.3082,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I13,s54,puc19,11.3037,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I15,s55,puc19,11.2785,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I17,s56,puc19,11.3169,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,2.7778,1
I19,s57,puc19,11.2664,m169,0.0694,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
I21,s58,puc19,11.3049,m169,0.0694,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
I23,s59,puc19,11.2797,m169,0.2778,m168,0.0694,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K1,s60,puc19,11.2751,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K3,s61,puc19,11.2499,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K5,s62,puc19,11.2884,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,2.7778,1
K7,s63,puc19,11.2968,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
K9,s64,puc19,11.2716,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
K11,s65,puc19,11.3100,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
K13,s66,puc19,11.2802,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
K15,s67,puc19,12.4429,m169,0.0694,m168,0.0694,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,2.7778,1
K17,s68,puc19,10.2724,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0000,m162,2.7778,1
K19,s69,puc19,10.2353,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0000,m163,0.2778,m162,2.7778,1
K21,s70,puc19,10.2734,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0000,m164,0.2778,m163,0.2778,m162,2.7778,1
K23,s71,puc19,10.2445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0000,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
M1,s72,puc19,10.2842,m169,0.2778,m168,0.2778,m167,0.0000,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
M3,s73,puc19,10.2329,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
M5,s74,puc19,10.2665,m169,0.0000,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
M7,s75,puc19,9.7445,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
M9,s76,puc19,6.1466,m169,0.5556,m168,0.5556,m167,0.5556,m166,0.5556,m165,0.5556,m164,0.5556,m163,0.5556,m162,2.7778,1
M11,s77,puc19,16.7690,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,0.5556,1
M13,s78,puc19,16.7969,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.2778,m163,0.0694,m162,0.5556,1
M15,s79,puc19,16.7683,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.2778,m164,0.0694,m163,0.0694,m162,0.5556,1
M17,s80,puc19,16.7900,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556,1
M19,s81,puc19,16.7602,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556,1
M21,s82,puc19,16.7735,m169,0.2778,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556,1
M23,s83,puc19,15.2289,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,0.5556,1
O1,s84,puc19,15.2010,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,0.5556,1
O3,s85,puc19,15.2296,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,0.5556,1
O5,s86,puc19,15.2079,m169,0.2778,m168,0.0000,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556,1
O7,s87,puc19,15.2377,m169,0.2778,m168,0.0000,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556,1
O9,s88,puc19,15.2245,m169,0.0694,m168,0.0000,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,0.5556,1
O11,s89,puc19,10.1405,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.0694,m162,2.7778,1
O13,s90,puc19,10.1126,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.0694,m163,0.2778,m162,2.7778,1
O15,s91,puc19,10.1412,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.0694,m164,0.2778,m163,0.2778,m162,2.7778,1
O17,s92,puc19,10.1195,m169,0.2778,m168,0.2778,m167,0.2778,m166,0.0694,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
O19,s93,puc19,10.1493,m169,0.2778,m168,0.2778,m167,0.0694,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
O21,s94,puc19,10.1108,m169,0.2778,m168,0.0694,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
O23,s95,puc19,10.1360,m169,0.0694,m168,0.2778,m167,0.2778,m166,0.2778,m165,0.2778,m164,0.2778,m163,0.2778,m162,2.7778,1
A2,s80,puc19,16.7900,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.2778,m165,0.0694,m164,0.0694,m163,0.0694,m162,0.5556,2
A4,s77,puc19,16.7690,m169,0.0694,m168,0.0000,m167,0.0694,m166,0.0694,m165,0.0694,m164,0.0694,m163,0.2778,m162,0.5556,2
