Location,Name,Concentration,Length,Units
O9,water,1.0,0,x
O10,water,1.0,0,x
O11,water,1.0,0,x
O12,water,1.0,0,x
O13,water,1.0,0,x
O14,water,1.0,0,x
O15,water,1.0,0,x
O16,water,1.0,0,x
O17,water,1.0,0,x
O18,water,1.0,0,x
O19,puc19,59.05,0,nM
O20,water,1.0,0,x
O21,water,1.0,0,x
O22,water,1.0,0,x
O23,water,1.0,0,x
O24,water,1.0,0,x
P1,water,1.0,0,x
P2,water,1.0,0,x
P3,water,1.0,0,x
P4,water,1.0,0,x
P5,water,1.0,0,x
P6,water,1.0,0,x
P7,water,1.0,0,x
P8,water,1.0,0,x
P9,water,1.0,0,x
P10,water,1.0,0,x
P11,water,1.0,0,x
P12,water,1.0,0,x
P13,water,1.0,0,x
P14,water,1.0,0,x
P15,water,1.0,0,x
P16,water,1.0,0,x
P17,water,1.0,0,x
P18,water,1.0,0,x
P19,water,1.0,0,x
P20,water,1.0,0,x
P21,water,1.0,0,x
P22,water,1.0,0,x
P23,water,1.0,0,x
P24,water,1.0,0,x
