well,name,concentration,volume,date
A3,m162,105.7553957,21000,26/08/2024
C3,m163,15.03804716,31150,26/08/2024
E3,m164,14.39268696,30875,26/08/2024
G3,m165,15.46283204,30025,26/08/2024
I3,m166,14.35048922,29975,26/08/2024
K3,m167,15.47599746,31300,26/08/2024
M3,m168,14.72336683,30500,26/08/2024
O3,m169,15.36023406,32075,26/08/2024
B4,puc19,111.4611375,21000,26/08/2024
B24,water,1.0,21000,26/08/2024
D24,water,1.0,21000,26/08/2024
F24,water,1.0,21000,26/08/2024
H24,water,1.0,21000,26/08/2024
J24,water,1.0,21000,26/08/2024
L24,water,1.0,21000,26/08/2024
N24,water,1.0,21000,26/08/2024
A5,m162,105.7553957,29700,26/08/2024
D4,puc19,111.4611375,21000,26/08/2024
F4,puc19,111.4611375,21000,26/08/2024
H4,puc19,111.4611375,21000,26/08/2024
J4,puc19,111.4611375,21000,26/08/2024
N4,puc19,111.4611375,21000,26/08/2024
L4,puc19,111.4611375,25975,26/08/2024
A06,water,1.0,21000,26/08/2024
A07,water,1.0,21000,26/08/2024
A08,water,1.0,21000,26/08/2024
