well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
D5,puc19,32.32271045,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.795454545,m163,0.795454545,m162,7.954545455
C5,puc19,32.2882832,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
B5,puc19,32.20299247,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
A5,puc19,54.67354686,m169,0,m168,0,m167,0,m166,0,m165,0,m164,0,m163,0,m162,0
H6,puc19,32.31315966,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
G6,puc19,32.2409735,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.198863636,m165,0.795454545,m164,0.198863636,m163,0.795454545,m162,7.954545455
F6,puc19,32.26496151,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
E6,puc19,32.37512871,m169,0.198863636,m168,0.795454545,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
D6,puc19,32.30294254,m169,0.795454545,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
C6,puc19,32.28983798,m169,0.198863636,m168,0.795454545,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
B6,puc19,32.21765181,m169,0.795454545,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
A6,puc19,19.67176996,m169,0.795454545,m168,0.795454545,m167,0.795454545,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.795454545,m162,11.93181818
H7,puc19,32.32781901,m169,0.795454545,m168,0.795454545,m167,0.198863636,m166,0.198863636,m165,0.198863636,m164,0.198863636,m163,0.795454545,m162,7.954545455
G7,puc19,32.36802115,m169,0.198863636,m168,0.198863636,m167,0.198863636,m166,0.795454545,m165,0.795454545,m164,0.795454545,m163,0.198863636,m162,7.954545455
F7,puc19,32.28273042,m169,0.198863636,m168,0.198863636,m167,0.795454545,m166,0.198863636,m165,0.795454545,m164,0.795454545,m163,0.198863636,m162,7.954545455
