1x_F,del_F,1x_G,del_G,1x_J,del_J,1x_K,del_K,1x_N,del_N,1x_V,del_V,1x_W,del_W,1x_FG,1x_FJ,1x_FK,1x_FN,1x_FV,1x_FW,1x_GJ,1x_GK,1x_GN,1x_GV,1x_GW,1x_JK,1x_JN,1x_JV,1x_JW,1x_KN,1x_KV,1x_KW,1x_NV,1x_NW,1x_VW,1x_FGJ,1x_FGK,1x_FGN,1x_FGV,1x_FGW,1x_FJK,1x_FJN,1x_FJV,1x_FJW,1x_FKN,1x_FKV,1x_FKW,1x_FNV,1x_FNW,1x_FVW,1x_GJK,1x_GJN,1x_GJV,1x_GJW,1x_GKN,1x_GKV,1x_GKW,1x_GNV,1x_GNW,1x_GVW,1x_JKN,1x_JKV,1x_JKW,1x_JNV,1x_JNW,1x_JVW,1x_KNV,1x_KNW,1x_KVW,1x_NVW,gvpA_10_chaps_2,gvpA_15_chaps_2,gvpA_20_chaps_2,gvpA_25_chaps_1,1x_KJWN,1x_GFNJ,1x_FGJK,1x_FJVK,1x_VFNJ,1x_VJKW,1x_FGVW,1x_GJKN,1x_JKNV,1x_FJNW,neg_t1_g1,pos_t1_g1,neg_t2_g1,pos_t2_g1,neg_t5_g2,pos_t5_g2,neg_t6_g2,pos_t6_g2,neg_t7_g3,pos_t7_g3,neg_t8_g3,pos_t8_g3
163862.2951,16176.0413,235711.372,4043.843457,336546.2147,6792.858199,30959.35037,8419.487313,82674.25329,231752.6676,83555.52281,615618.5616,58610.75943,23104.21356,505060.839,559864.5124,91967.66428,210679.2397,147250.5395,181092.7796,520504.0867,52172.27163,152175.9692,375551.8395,144588.2281,56858.37978,171355.2612,231182.7013,383979.5993,28070.83051,22723.63194,11154.20512,46594.16062,84939.09091,74382.51635,748385.5213,103196.6404,485456.7835,616823.0058,458148.7676,182380.4002,498848.0388,720118.6518,390542.9794,58415.80046,45920.15006,26634.98289,388670.0495,243185.3132,142559.7937,168478.9457,669402.6209,631669.0514,718497.2647,84724.55584,110522.942,84560.23584,365080.8816,363717.9444,416614.6864,49971.0698,171822.7472,94570.69261,214802.3006,514174.1363,325880.2507,10088.9568,51232.92473,19187.35635,68666.59422,322180.5815,395801.2204,386787.9311,161662.5159,68050.5736,656095.1972,225552.6571,105619.0283,491592.088,88988.39027,276948.9482,257736.4591,317354.1572,743534.4055,2514.577417,488185.6643,1481.814204,497943.6835,3117.772127,913133.9735,1686.179682,488968.4928,3451.951933,516284.9646,3180.718981,331721.3205
80092.10969,4288.8567,312558.6046,7246.456131,454205.7322,3230.492473,8070.822739,12384.00288,98526.55854,94453.31466,45854.25525,612100.0488,114439.8223,6305.276551,461255.506,518221.9037,14494.74174,134400.1739,132635.6654,120366.4518,579845.0586,49652.14415,435252.4562,353245.4099,271324.8883,64496.35535,392812.3695,296990.0309,248788.9409,11781.25337,9032.586087,16253.89928,61070.66706,60120.00234,68879.90321,604415.8343,115704.1541,665442.69,602010.0246,554717.8308,231043.3919,511534.5229,614565.436,821326.1015,55505.21203,18371.98441,74794.10771,240881.9922,425568.4617,174734.9362,268874.7375,566172.0149,393223.0753,633437.5052,105011.1195,113961.216,75500.78409,344220.6107,622480.5165,352312.3544,102675.1341,134249.7737,125449.0233,673839.4382,502096.6637,364437.0596,62480.67764,87883.85852,30547.73868,103392.5721,379409.0896,478367.4409,521277.2024,193866.706,110923.9905,556850.8747,172496.9894,58792.33957,555651.5984,70056.34086,298819.9234,211983.7192,57514.96916,682154.6066,5584.610604,289193.2381,19998.23851,437950.6834,3857.251719,244891.2809,2586.574868,465538.1405,5525.041456,76545.26027,3323.561727,369257.4705
114422.9331,7946.638776,293768.1267,5354.431074,381690.4141,4086.261193,12345.1314,9726.307447,71480.67546,81535.76866,61619.71045,572290.13,69308.90246,9945.963282,252619.899,515559.8599,33718.66097,76557.87917,104294.2046,101156.6426,541368.9182,43903.24232,311688.9608,267161.9471,214814.6656,94124.37226,443561.4451,304149.358,392042.4206,11426.69272,15617.53618,13300.24744,49749.378,126243.9255,85475.83783,585336.7361,81308.50236,545055.8514,451530.2025,281124.0329,182920.3796,602908.2706,450450.0063,462513.9437,58103.88045,21984.52189,60495.24452,219476.7494,236089.7402,283686.9366,225019.7409,337896.01,537149.4166,665368.6009,82525.23039,76448.43271,47361.0666,310765.684,645115.174,390382.7152,56914.785,82963.28123,61316.41034,218519.5518,483439.0043,342593.245,17310.14474,42285.88701,27084.82216,70245.97337,404944.1588,624573.9088,370751.1038,176481.1765,339912.6703,447367.0042,297932.8764,105449.2438,374010.8206,64578.70669,258598.9564,177980.9042,49659.0158,516641.58,2308.705766,424983.5283,1765.448359,350219.6189,4107.978439,404898.6883,1876.309819,531260.6938,5453.526874,385712.0518,2761.709633,431433.0303
