1x_FGJ,1x_FGK,1x_FGN,1x_FGV,1x_FGW,1x_FJK,1x_FJN,1x_FJV,1x_FJW,1x_FKN,1x_FKV,1x_FKW,1x_FNV,1x_FNW,1x_FVW,1x_GJK,1x_GJN,1x_GJV,1x_GJW,1x_GKN,1x_GKV,1x_GKW,1x_GNV,1x_GNW,1x_GVW,1x_JKN,1x_JKV,1x_JKW,1x_JNV,1x_JNW,1x_JVW,1x_KNV,1x_KNW,1x_KVW,1x_NVW
748385.5213,103196.6404,485456.7835,616823.0058,458148.7676,182380.4002,498848.0388,720118.6518,390542.9794,58415.80046,45920.15006,26634.98289,388670.0495,243185.3132,142559.7937,168478.9457,669402.6209,631669.0514,718497.2647,84724.55584,110522.942,84560.23584,365080.8816,363717.9444,416614.6864,49971.0698,171822.7472,94570.69261,214802.3006,514174.1363,325880.2507,10088.9568,51232.92473,19187.35635,68666.59422
604415.8343,115704.1541,665442.69,602010.0246,554717.8308,231043.3919,511534.5229,614565.436,821326.1015,55505.21203,18371.98441,74794.10771,240881.9922,425568.4617,174734.9362,268874.7375,566172.0149,393223.0753,633437.5052,105011.1195,113961.216,75500.78409,344220.6107,622480.5165,352312.3544,102675.1341,134249.7737,125449.0233,673839.4382,502096.6637,364437.0596,62480.67764,87883.85852,30547.73868,103392.5721
585336.7361,81308.50236,545055.8514,451530.2025,281124.0329,182920.3796,602908.2706,450450.0063,462513.9437,58103.88045,21984.52189,60495.24452,219476.7494,236089.7402,283686.9366,225019.7409,337896.01,537149.4166,665368.6009,82525.23039,76448.43271,47361.0666,310765.684,645115.174,390382.7152,56914.785,82963.28123,61316.41034,218519.5518,483439.0043,342593.245,17310.14474,42285.88701,27084.82216,70245.97337
