well_id,component_1,concentration(nM).1,component_2,concentration(nM).2,component_3,concentration(nM).3,component_4,concentration(nM).4,component_5,concentration(nM).5,component_6,concentration(nM).6,component_7,concentration(nM).7,component_8,concentration(nM).8,component_9,concentration(nM).9
C6,puc19,25.14,m169,0.80,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.80,m162,11.93
B6,puc19,25.21,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.80,m164,0.80,m163,0.20,m162,11.93
A6,puc19,19.67,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,11.93
H7,puc19,25.27,m169,0.20,m168,0.20,m167,0.20,m166,0.80,m165,0.20,m164,0.80,m163,0.20,m162,11.93
G7,puc19,25.19,m169,0.20,m168,0.20,m167,0.80,m166,0.20,m165,0.20,m164,0.80,m163,0.20,m162,11.93
F7,puc19,25.30,m169,0.20,m168,0.80,m167,0.20,m166,0.20,m165,0.20,m164,0.80,m163,0.20,m162,11.93
E7,puc19,25.22,m169,0.80,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.80,m163,0.20,m162,11.93
D7,puc19,25.19,m169,0.20,m168,0.20,m167,0.20,m166,0.80,m165,0.80,m164,0.20,m163,0.20,m162,11.93
C7,puc19,25.10,m169,0.20,m168,0.20,m167,0.80,m166,0.20,m165,0.80,m164,0.20,m163,0.20,m162,11.93
B7,puc19,25.21,m169,0.20,m168,0.80,m167,0.20,m166,0.20,m165,0.80,m164,0.20,m163,0.20,m162,11.93
A7,puc19,54.67,m169,0.00,m168,0.00,m167,0.00,m166,0.00,m165,0.00,m164,0.00,m163,0.00,m162,0.00
H8,puc19,25.14,m169,0.80,m168,0.20,m167,0.20,m166,0.20,m165,0.80,m164,0.20,m163,0.20,m162,11.93
G8,puc19,25.17,m169,0.20,m168,0.20,m167,0.80,m166,0.80,m165,0.20,m164,0.20,m163,0.20,m162,11.93
F8,puc19,25.28,m169,0.20,m168,0.80,m167,0.20,m166,0.80,m165,0.20,m164,0.20,m163,0.20,m162,11.93
E8,puc19,25.20,m169,0.80,m168,0.20,m167,0.20,m166,0.80,m165,0.20,m164,0.20,m163,0.20,m162,11.93
D8,puc19,25.19,m169,0.20,m168,0.80,m167,0.80,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
C8,puc19,25.12,m169,0.80,m168,0.20,m167,0.80,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
B8,puc19,25.23,m169,0.80,m168,0.80,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
A8,puc19,19.67,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,11.93
H9,puc19,22.29,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,1.59,m163,1.59,m162,11.93
G9,puc19,22.10,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,1.59,m164,0.20,m163,1.59,m162,11.93
F9,puc19,22.25,m169,0.20,m168,0.20,m167,0.20,m166,1.59,m165,0.20,m164,0.20,m163,1.59,m162,11.93
E9,puc19,22.05,m169,0.20,m168,0.20,m167,1.59,m166,0.20,m165,0.20,m164,0.20,m163,1.59,m162,11.93
D9,puc19,22.31,m169,0.20,m168,1.59,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,1.59,m162,11.93
C9,puc19,22.14,m169,1.59,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,1.59,m162,11.93
B9,puc19,22.29,m169,0.20,m168,0.20,m167,0.20,m166,0.20,m165,1.59,m164,1.59,m163,0.20,m162,11.93
A9,puc19,54.67,m169,0.00,m168,0.00,m167,0.00,m166,0.00,m165,0.00,m164,0.00,m163,0.00,m162,0.00
H10,puc19,22.43,m169,0.20,m168,0.20,m167,0.20,m166,1.59,m165,0.20,m164,1.59,m163,0.20,m162,11.93
G10,puc19,22.23,m169,0.20,m168,0.20,m167,1.59,m166,0.20,m165,0.20,m164,1.59,m163,0.20,m162,11.93
F10,puc19,22.49,m169,0.20,m168,1.59,m167,0.20,m166,0.20,m165,0.20,m164,1.59,m163,0.20,m162,11.93
E10,puc19,22.32,m169,1.59,m168,0.20,m167,0.20,m166,0.20,m165,0.20,m164,1.59,m163,0.20,m162,11.93
D10,puc19,22.24,m169,0.20,m168,0.20,m167,0.20,m166,1.59,m165,1.59,m164,0.20,m163,0.20,m162,11.93
C10,puc19,22.04,m169,0.20,m168,0.20,m167,1.59,m166,0.20,m165,1.59,m164,0.20,m163,0.20,m162,11.93
B10,puc19,22.30,m169,0.20,m168,1.59,m167,0.20,m166,0.20,m165,1.59,m164,0.20,m163,0.20,m162,11.93
A10,puc19,19.67,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,11.93
H11,puc19,22.13,m169,1.59,m168,0.20,m167,0.20,m166,0.20,m165,1.59,m164,0.20,m163,0.20,m162,11.93
G11,puc19,22.19,m169,0.20,m168,0.20,m167,1.59,m166,1.59,m165,0.20,m164,0.20,m163,0.20,m162,11.93
F11,puc19,22.45,m169,0.20,m168,1.59,m167,0.20,m166,1.59,m165,0.20,m164,0.20,m163,0.20,m162,11.93
E11,puc19,22.28,m169,1.59,m168,0.20,m167,0.20,m166,1.59,m165,0.20,m164,0.20,m163,0.20,m162,11.93
D11,puc19,22.25,m169,0.20,m168,1.59,m167,1.59,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
C11,puc19,22.08,m169,1.59,m168,0.20,m167,1.59,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
B11,puc19,22.34,m169,1.59,m168,1.59,m167,0.20,m166,0.20,m165,0.20,m164,0.20,m163,0.20,m162,11.93
A11,puc19,54.67,m169,0.00,m168,0.00,m167,0.00,m166,0.00,m165,0.00,m164,0.00,m163,0.00,m162,0.00
H12,puc19,24.19,m169,1.59,m168,1.59,m167,1.59,m166,1.59,m165,1.59,m164,1.59,m163,1.59,m162,4.77
G12,puc19,20.89,m169,1.59,m168,1.59,m167,1.59,m166,1.59,m165,1.59,m164,1.59,m163,1.59,m162,6.36
F12,puc19,17.60,m169,1.59,m168,1.59,m167,1.59,m166,1.59,m165,1.59,m164,1.59,m163,1.59,m162,7.95
E12,puc19,14.31,m169,1.59,m168,1.59,m167,1.59,m166,1.59,m165,1.59,m164,1.59,m163,1.59,m162,9.55
D12,puc19,11.02,m169,1.59,m168,1.59,m167,1.59,m166,1.59,m165,1.59,m164,1.59,m163,1.59,m162,11.14
C12,puc19,7.72,m169,1.59,m168,1.59,m167,1.59,m166,1.59,m165,1.59,m164,1.59,m163,1.59,m162,12.73
B12,puc19,1.14,m169,1.59,m168,1.59,m167,1.59,m166,1.59,m165,1.59,m164,1.59,m163,1.59,m162,15.91
A12,puc19,19.67,m169,0.80,m168,0.80,m167,0.80,m166,0.80,m165,0.80,m164,0.80,m163,0.80,m162,11.93
